reference_code,candidate_dois_json,doi_links_json,lookup_status,training_molecules,record_ids_json
1973SVO/VES,[],[],possible bibliographic match only; verify primary reference,6,"[""rdr250199#csvline1897"",""rdr250199#csvline1898"",""rdr250199#csvline1899"",""rdr250199#csvline1900"",""rdr250199#csvline1901"",""rdr250199#csvline1902"",""rdr250199#csvline3064"",""rdr250199#csvline3065"",""rdr250199#csvline3066"",""rdr250199#csvline3067"",""rdr250199#csvline391"",""rdr250199#csvline392"",""rdr250199#csvline393"",""rdr250199#csvline394"",""rdr250199#csvline395"",""rdr250199#csvline396"",""rdr250199#csvline5062"",""rdr250199#csvline5063"",""rdr250199#csvline5064"",""rdr250199#csvline5065"",""rdr250199#csvline5066"",""rdr250199#csvline5067"",""rdr250199#csvline5326"",""rdr250199#csvline5327"",""rdr250199#csvline5328"",""rdr250199#csvline5329"",""rdr250199#csvline5330"",""rdr250199#csvline5554"",""rdr250199#csvline5555"",""rdr250199#csvline5556"",""rdr250199#csvline5557"",""rdr250199#csvline5558""]"
1979MAJ/SVO,[],[],possible bibliographic match only; verify primary reference,6,"[""rdr250199#csvline5548"",""rdr250199#csvline5549"",""rdr250199#csvline5550"",""rdr250199#csvline5551"",""rdr250199#csvline5552"",""rdr250199#csvline5553"",""rdr250199#csvline6029"",""rdr250199#csvline6030"",""rdr250199#csvline6031"",""rdr250199#csvline6032"",""rdr250199#csvline7360"",""rdr250199#csvline7361"",""rdr250199#csvline7362"",""rdr250199#csvline7363"",""rdr250199#csvline7676"",""rdr250199#csvline7677"",""rdr250199#csvline7678"",""rdr250199#csvline7679"",""rdr250199#csvline9028"",""rdr250199#csvline9029"",""rdr250199#csvline9030"",""rdr250199#csvline9031"",""rdr250199#csvline9064"",""rdr250199#csvline9065"",""rdr250199#csvline9066"",""rdr250199#csvline9067""]"
1980MAJ/SVA,[],[],possible bibliographic match only; verify primary reference,5,"[""rdr250199#csvline516"",""rdr250199#csvline517"",""rdr250199#csvline518"",""rdr250199#csvline519"",""rdr250199#csvline520"",""rdr250199#csvline739"",""rdr250199#csvline740"",""rdr250199#csvline741"",""rdr250199#csvline742"",""rdr250199#csvline796"",""rdr250199#csvline797"",""rdr250199#csvline798"",""rdr250199#csvline799"",""rdr250199#csvline800"",""rdr250199#csvline87"",""rdr250199#csvline88"",""rdr250199#csvline89"",""rdr250199#csvline90"",""rdr250199#csvline91"",""rdr250199#csvline927"",""rdr250199#csvline928"",""rdr250199#csvline929"",""rdr250199#csvline930"",""rdr250199#csvline931""]"
1980SVO/UCH,[],[],possible bibliographic match only; verify primary reference,5,"[""rdr250199#csvline2764"",""rdr250199#csvline2765"",""rdr250199#csvline2766"",""rdr250199#csvline4059"",""rdr250199#csvline4060"",""rdr250199#csvline4061"",""rdr250199#csvline4076"",""rdr250199#csvline4077"",""rdr250199#csvline4120"",""rdr250199#csvline4121"",""rdr250199#csvline4122"",""rdr250199#csvline5821"",""rdr250199#csvline5822"",""rdr250199#csvline5823"",""rdr250199#csvline5824""]"
1985MAJ/SVO2,[],[],possible bibliographic match only; verify primary reference,5,"[""rdr250199#csvline4401"",""rdr250199#csvline4402"",""rdr250199#csvline4403"",""rdr250199#csvline4404"",""rdr250199#csvline4454"",""rdr250199#csvline4455"",""rdr250199#csvline4456"",""rdr250199#csvline4457"",""rdr250199#csvline4458"",""rdr250199#csvline4459"",""rdr250199#csvline4468"",""rdr250199#csvline4469"",""rdr250199#csvline4470"",""rdr250199#csvline4471"",""rdr250199#csvline4472"",""rdr250199#csvline7095"",""rdr250199#csvline7096"",""rdr250199#csvline7097"",""rdr250199#csvline7118"",""rdr250199#csvline7119"",""rdr250199#csvline7120""]"
1996VIT/CHA,[],[],possible bibliographic match only; verify primary reference,5,"[""rdr250199#csvline11044"",""rdr250199#csvline11045"",""rdr250199#csvline11046"",""rdr250199#csvline11047"",""rdr250199#csvline11599"",""rdr250199#csvline11600"",""rdr250199#csvline11601"",""rdr250199#csvline11602"",""rdr250199#csvline11603"",""rdr250199#csvline12349"",""rdr250199#csvline12350"",""rdr250199#csvline12351"",""rdr250199#csvline13141"",""rdr250199#csvline13142"",""rdr250199#csvline13143"",""rdr250199#csvline13144"",""rdr250199#csvline13145"",""rdr250199#csvline9994"",""rdr250199#csvline9995""]"
1963MOR/SUN,[],[],possible bibliographic match only; verify primary reference,4,"[""rdr250199#csvline11063"",""rdr250199#csvline12363"",""rdr250199#csvline13156"",""rdr250199#csvline9034""]"
1968PLA/WIL,[],[],possible bibliographic match only; verify primary reference,4,"[""rdr250199#csvline3764"",""rdr250199#csvline3984"",""rdr250199#csvline5394"",""rdr250199#csvline5703""]"
1973GEI/QUI,[],[],possible bibliographic match only; verify primary reference,4,"[""rdr250199#csvline2688"",""rdr250199#csvline4087"",""rdr250199#csvline4129"",""rdr250199#csvline5783""]"
1977STRI/SUN,[],[],possible bibliographic match only; verify primary reference,4,"[""rdr250199#csvline11490"",""rdr250199#csvline12241"",""rdr250199#csvline13059"",""rdr250199#csvline8620""]"
